J_type,N-SIZE,Thk,Filler Size(2.4),Electrode  Size(2.5),Electrode  Size(3.25),Electrode  Size(4)
FW,2,12.7,0,0,0.424571507,0
FW,14,12.7,0,0,2.503774924,0
BW,12,12.7,0.428331466,0,1.319723975,0
FW,12,12.7,0,0,2.280575641,0
BW,18,12.7,0.604609898,0,1.862852119,0
FW,18,12.7,0,0,3.219139188,0
BW,16,12.7,0.537431021,0,1.65586855,0
FW,16,12.7,0,0,2.861457056,0
FW,4,12.7,0,0,0.804784797,0
FW,6,12.7,0,0,1.184998087,0
BW,8,12.7,0.28974197,0,0.892718502,0
FW,8,12.7,0,0,1.542680219,0
BW,10,12.7,0.361152588,0,1.112740406,0
FW,10,12.7,0,0,1.922893509,0
FW,30,12.7,0,0,5.36523198,0
BW,28,12.7,0.940504286,0,2.897769963,0
FW,28,12.7,0,0,5.007549848,0
BW,32,12.7,1.074862041,0,3.3117371,0
BW,34,12.7,1.142040919,0,3.518720669,0
FW,20,12.7,0,0,3.57682132,0
BW,24,12.7,0.806146531,0,2.483802825,0
FW,24,12.7,0,0,4.292185584,0
BW,36,12.7,1.209219796,0,3.725704238,0
BW,38,12.7,1.276398674,0,3.932687806,0
BW,40,12.7,1.343577552,0,4.139671375,0
BW,42,12.7,1.410756429,0,4.346654944,0
BW,44,12.7,1.477935307,0,4.553638513,0
BW,48,12.7,1.612293062,0,4.96760565,0
FW,48,12.7,0,0,8.584371168,0
BW,52,12.7,1.746650817,0,5.381572788,0
BW,56,13.4,1.881008572,0,7.320682011,0
FW,10,13.4,0,0,2.274285216,0
BW,0.75,13.4,0.035308583,0,0.137417189,0
BW,4,13.49,0.151152475,0,0.58826909,0
FW,6,13.6,0,0,1.401545961,0
FW,2,13.6,0,0,0.502158178,0
BW,42,13.6,1.410756429,0,5.490511508,0
FW,20,13.6,0,0,4.230453642,0
BW,60,14.2,2.015366327,0,9.314260594,0
FW,2,14.2,0,0,0.568968923,0
FW,2,14.27,0,0,0.568968923,0
BW,6,14.27,0.222563092,0,1.0286024,0
BW,64,15,2.149724083,0,5.112857277,6.507272899
BW,20,15.06,0.671788776,0,1.597767899,2.033522781
BW,10,15.06,0.361152588,0,0.858957506,1.093218645
BW,10,15.09,0.361152588,0,0.858957506,1.093218645
FW,10,15.09,0,0,2.898981584,0
BW,8,15.09,0.28974197,0,0.689116037,0.877056774
BW,12,15.09,0.428331466,0,1.018734296,1.296570923
FW,12,15.09,0,0,3.43822825,0
BW,14,15.09,0.470252143,0,1.118437529,1.423465947
FW,14,15.09,0,0,3.774726662,0
BW,20,15.09,0.671788776,0,1.597767899,2.033522781
BW,60,15.88,2.015366327,0,4.793303698,6.100568342
FW,60,15.88,0,0,16.17739998,0
BW,18,16,0.604609898,0,1.437991109,2.206009088
FW,18,16,0,0,5.490511508,0
BW,2,16,0.079741857,0,0.189656308,0.290950018
BW,1,16,0.04416879,0,0.105050094,0.161156394
BW,0.75,16,0.035308583,0,0.083977171,0.128828615
FW,0.75,16,0,0,0.320640108,0
BW,0.5,16,0.028167522,0,0.066993024,0.102773389
FW,12,16.3,0,0,3.889712768,0
FW,20,16.3,0,0,6.100568342,0
BW,28,16.3,0.940504286,0,2.236875059,3.431569693
BW,16,16.66,0.537431021,0,1.278214319,1.960896967
FW,6,16.7,0,0,2.021113488,0
BW,0.75,16.7,0.035308583,0,0.083977171,0.128828615
FW,1.5,16.7,0,0,0.255791547,0
BW,72,16.7,2.418439593,0,5.751964437,8.824036352
BW,30,17.3,1.007683164,0,2.560059929,4.357548816
BW,20,17.48,0.671788776,0,1.70670662,2.905032544
BW,24,17.48,0.806146531,0,2.048047944,3.486039053
FW,24,17.48,0,0,8.213979518,0
BW,10,17.48,0.361152588,0,0.917522791,1.561740921
BW,12,17.48,0.428331466,0,1.088193453,1.852244175
FW,12,17.48,0,0,4.364350338,0
BW,28,17.5,0.940504286,0,2.389389267,4.067045562
BW,28,18,0.940504286,0,2.541903476,4.7533595
FW,28,18,0,0,10.6759946,0
BW,48,18,1.779081999,0,4.808329728,8.991576591
